"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","1,503.79","1,503.79","1,503.79","1,503.79","","-0.74%"
"10/30/2025","1,515.01","1,515.01","1,515.01","1,515.01","","-0.96%"
"10/29/2025","1,529.64","1,529.64","1,529.64","1,529.64","","0.06%"
"10/28/2025","1,528.69","1,528.69","1,528.69","1,528.69","","-0.11%"
"10/27/2025","1,530.42","1,530.42","1,530.42","1,530.42","","0.40%"
"10/24/2025","1,524.34","1,524.34","1,524.34","1,524.34","","0.25%"
"10/23/2025","1,520.56","1,520.56","1,520.56","1,520.56","","0.38%"
"10/22/2025","1,514.83","1,514.83","1,514.83","1,514.83","","-0.32%"
"10/21/2025","1,519.76","1,519.76","1,519.76","1,519.76","","-0.34%"
"10/20/2025","1,524.87","1,524.87","1,524.87","1,524.87","","0.96%"
"10/17/2025","1,510.34","1,510.34","1,510.34","1,510.34","","-1.01%"
"10/16/2025","1,525.81","1,525.81","1,525.81","1,525.81","","1.28%"
"10/15/2025","1,506.58","1,506.58","1,506.58","1,506.58","","0.91%"
"10/14/2025","1,493.04","1,493.04","1,493.04","1,493.04","","-0.07%"
"10/13/2025","1,494.15","1,494.15","1,494.15","1,494.15","","0.29%"
"10/10/2025","1,489.79","1,489.79","1,489.79","1,489.79","","-1.37%"
"10/09/2025","1,510.49","1,510.49","1,510.49","1,510.49","","-0.88%"
"10/08/2025","1,523.88","1,523.88","1,523.88","1,523.88","","0.49%"
"10/07/2025","1,516.42","1,516.42","1,516.42","1,516.42","","-0.65%"
"10/06/2025","1,526.27","1,526.27","1,526.27","1,526.27","","-0.29%"
"10/03/2025","1,530.65","1,530.65","1,530.65","1,530.65","","0.73%"
"10/02/2025","1,519.51","1,519.51","1,519.51","1,519.51","","0.36%"