iterationnumber,timestamp,execution_time_ms,MC_throughput_secs,kernel_time_ms,overhead_time_ms,throughput_trials_per_second,comment,start_date,end_date,train_ratio,M,k,x,model_name,seed,nodes,threads,processes, indices,actual_freq,P_hat,count,std_error,ci_lower,ci_upper
0,2025-11-23 16:06:14,140,714286,71.127,68.873,1405940.311,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.040480,4048,0.000623,0.039258,0.041702
0,2025-11-23 16:06:14,141,709220,71.554,69.446,1397551.939,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.040480,4048,0.000623,0.039258,0.041702
0,2025-11-23 16:18:02,139,719424,70.506,68.494,1418318.709,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.040480,4048,0.000623,0.039258,0.041702
0,2025-11-23 16:18:02,143,699301,75.710,67.290,1320828.010,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.040480,4048,0.000623,0.039258,0.041702
0,2025-11-23 16:18:03,138,724638,71.018,66.982,1408087.663,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.040480,4048,0.000623,0.039258,0.041702
0,2025-11-23 16:18:03,141,709220,71.078,69.922,1406910.849,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.040480,4048,0.000623,0.039258,0.041702
0,2025-11-23 16:18:03,140,714286,71.657,68.343,1395536.490,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.040480,4048,0.000623,0.039258,0.041702
0,2025-11-23 19:03:23,54,1851852,14.307,39.693,6989349.511,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.040000,4000,0.000620,0.038785,0.041215
0,2025-11-23 19:04:13,61,1639344,31.404,29.596,3184314.081,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.039570,3957,0.000616,0.038362,0.040778
0,2025-11-23 19:04:13,61,1639344,32.693,28.307,3058782.496,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.039570,3957,0.000616,0.038362,0.040778
0,2025-11-23 19:04:14,61,1639344,31.231,29.769,3201975.038,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.039570,3957,0.000616,0.038362,0.040778
0,2025-11-23 19:04:14,61,1639344,31.016,29.984,3224131.478,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.039570,3957,0.000616,0.038362,0.040778
0,2025-11-23 19:04:14,61,1639344,31.157,29.843,3209508.647,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.039570,3957,0.000616,0.038362,0.040778
0,2025-11-26 20:01:26,3115,3210273,3128.707,-13.707,3196208.378,"Weak scaling: 1 unit, 10M simulations",2015-01-01,2025-12-31,0.8000,10000000,5,0.0200,openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039944,399442,0.000062,0.039823,0.040066
0,2025-11-26 20:01:29,3129,3195909,3143.854,-14.854,3180809.151,"Weak scaling: 1 unit, 10M simulations",2015-01-01,2025-12-31,0.8000,10000000,5,0.0200,openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039944,399442,0.000062,0.039823,0.040066
0,2025-11-26 20:01:32,3158,3166561,3173.999,-15.999,3150599.614,"Weak scaling: 1 unit, 10M simulations",2015-01-01,2025-12-31,0.8000,10000000,5,0.0200,openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039944,399442,0.000062,0.039823,0.040066
0,2025-11-26 20:01:44,21474,931359,10820.444,10653.556,1848353.016,"Weak scaling: 2 units, 20M simulations",2015-01-01,2025-12-31,0.8000,20000000,5,0.0200,openmp,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040017,800350,0.000044,0.039932,0.040103
0,2025-11-26 20:01:55,21809,917053,10998.521,10810.479,1818426.314,"Weak scaling: 2 units, 20M simulations",2015-01-01,2025-12-31,0.8000,20000000,5,0.0200,openmp,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040017,800350,0.000044,0.039932,0.040103
0,2025-11-26 20:02:05,19988,1000600,10053.830,9934.170,1989291.547,"Weak scaling: 2 units, 20M simulations",2015-01-01,2025-12-31,0.8000,20000000,5,0.0200,openmp,67,1,2,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040017,800350,0.000044,0.039932,0.040103
0,2025-11-26 20:02:31,93009,430066,23956.144,69052.856,1669717.784,"Weak scaling: 4 units, 40M simulations",2015-01-01,2025-12-31,0.8000,40000000,5,0.0200,openmp,67,1,4,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040033,1601335,0.000031,0.039973,0.040094
0,2025-11-26 20:02:56,96242,415619,24744.221,71497.779,1616539.081,"Weak scaling: 4 units, 40M simulations",2015-01-01,2025-12-31,0.8000,40000000,5,0.0200,openmp,67,1,4,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040033,1601335,0.000031,0.039973,0.040094
0,2025-11-26 20:03:20,92485,432503,24497.851,67987.149,1632796.253,"Weak scaling: 4 units, 40M simulations",2015-01-01,2025-12-31,0.8000,40000000,5,0.0200,openmp,67,1,4,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040033,1601335,0.000031,0.039973,0.040094
0,2025-11-30 21:59:18,241,414938,88.842,152.158,1125589.162,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040480,4048,0.000623,0.039258,0.041702
0,2025-11-30 21:59:18,66,1515152,33.295,32.705,3003481.699,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039990,3999,0.000620,0.038776,0.041204
0,2025-11-30 22:00:34,225,444444,80.235,144.765,1246339.939,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040480,4048,0.000623,0.039258,0.041702
0,2025-11-30 22:00:34,86,1162791,30.635,55.365,3264230.700,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039990,3999,0.000620,0.038776,0.041204
0,2025-11-30 22:00:34,63,1587302,21.059,41.941,4748491.404,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,mpi_openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039990,3999,0.000620,0.038776,0.041204
0,2025-11-30 23:26:15,256,390625,89.926,166.074,1112024.629,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040480,4048,0.000623,0.039258,0.041702
0,2025-11-30 23:26:15,86,1162791,31.153,54.847,3209931.872,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039990,3999,0.000620,0.038776,0.041204
0,2025-11-30 23:26:15,107,934579,33.771,73.229,2961148.284,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,mpi_openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039990,3999,0.000620,0.038776,0.041204
0,2025-12-01 00:08:49,68,1470588,71.082,-3.082,1406831.879,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040480,4048,0.000623,0.039258,0.041702
0,2025-12-01 00:08:49,49,2040816,49.912,-0.912,2003511.810,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039570,3957,0.000616,0.038362,0.040778
0,2025-12-01 00:08:49,40,2500000,39.672,0.328,2520641.089,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,mpi_openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040040,4004,0.000620,0.038825,0.041255
0,2025-12-01 00:11:01,67,1492537,34.002,32.998,2941046.608,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040480,4048,0.000623,0.039258,0.041702
0,2025-12-01 00:11:01,43,2325581,22.254,20.746,4493580.498,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039570,3957,0.000616,0.038362,0.040778
0,2025-12-01 00:11:01,136,735294,40.418,95.582,2474123.085,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,mpi_openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040040,4004,0.000620,0.038825,0.041255
0,2025-12-01 00:12:45,70,1428571,35.632,34.368,2806444.215,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040480,4048,0.000623,0.039258,0.041702
0,2025-12-01 00:12:45,43,2325581,21.954,21.046,4554904.200,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039570,3957,0.000616,0.038362,0.040778
0,2025-12-01 00:12:45,142,704225,39.135,102.865,2555236.091,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,mpi_openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040040,4004,0.000620,0.038825,0.041255
0,2025-12-01 00:19:19,68,1470588,35.351,32.649,2828745.617,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,16,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.040480,4048,0.000623,0.039258,0.041702
0,2025-12-01 00:19:19,44,2272727,22.336,21.664,4477079.115,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,16,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039000,3900,0.000612,0.037800,0.040200
0,2025-12-01 00:19:19,65,1538462,20.802,44.198,4807293.626,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,mpi_openmp,67,1,16,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011673,0.039760,3976,0.000618,0.038549,0.040971
0,2025-12-05 17:45:57,34,2941176,4.676,29.324,21386416.480,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp_opt,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011719,0.039050,3905,0.000613,0.037849,0.040251
0,2025-12-05 17:45:57,2348,42589,231.523,2116.477,431922.461,Default configuration for Monte Carlo risk analysis with GPU acceleration,2015-01-01,2025-12-31,0.8000,100000,5,0.0200,openmp,67,1,1,1, STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011719,0.040500,4050,0.000623,0.039278,0.041722
